    Soil Type,Water Availability,Area Size,Season,Temperature,Rainfall,Crop Cycle,Crop Recommendation,Yield Prediction,Fertilizer Recommendation,Pesticide Recommendation
Peaty,low,6862,spring,243,high,long term,Maize,32.1,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6863,monsoon,244,medium,medium term,Sugarcane,32.2,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6864,winter,245,low,short term,Barley,32.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6865,spring,246,high,long term,Oats,32.4,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6866,monsoon,247,medium,medium term,Rye,32.5,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6867,winter,248,low,short term,Wheat,32.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6868,spring,249,high,long term,Rice,32.7,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6869,monsoon,250,medium,medium term,Maize,32.8,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6870,winter,251,low,short term,Sugarcane,32.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6871,spring,252,high,long term,Barley,33,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6872,monsoon,253,medium,medium term,Oats,33.1,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6873,winter,254,low,short term,Rye,33.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6874,spring,255,high,long term,Wheat,33.3,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6875,monsoon,256,medium,medium term,Rice,33.4,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6876,winter,257,low,short term,Maize,33.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6877,spring,258,high,long term,Sugarcane,33.6,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6878,monsoon,259,medium,medium term,Barley,33.7,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6879,winter,260,low,short term,Oats,33.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6880,spring,261,high,long term,Rye,33.9,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6881,monsoon,262,medium,medium term,Wheat,34,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6882,winter,263,low,short term,Rice,34.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6883,spring,264,high,long term,Maize,34.2,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6884,monsoon,265,medium,medium term,Sugarcane,34.3,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6885,winter,266,low,short term,Barley,34.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6886,spring,267,high,long term,Oats,34.5,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6887,monsoon,268,medium,medium term,Rye,34.6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6888,winter,269,low,short term,Rice,34.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6889,spring,270,high,long term,Maize,34.8,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6890,monsoon,271,medium,medium term,Sugarcane,34.9,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6891,winter,272,low,short term,Barley,35,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6892,spring,273,high,long term,Oats,35.1,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6893,monsoon,274,medium,medium term,Rye,35.2,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6894,winter,275,low,short term,Wheat,35.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6895,spring,276,high,long term,Rice,35.4,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6900,monsoon,277,medium,medium term,Sugarcane,35.5,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6901,winter,278,low,short term,Barley,35.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6902,spring,279,high,long term,Oats,35.7,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6903,monsoon,280,medium,medium term,Rye,35.8,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6904,winter,281,low,short term,Rice,35.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6905,spring,282,high,long term,Maize,36,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6906,monsoon,283,medium,medium term,Sugarcane,36.1,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6907,winter,284,low,short term,Barley,36.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6908,spring,285,high,long term,Oats,36.3,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6909,monsoon,286,medium,medium term,Rye,36.4,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6910,winter,287,low,short term,Wheat,36.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6911,spring,288,high,long term,Rice,36.6,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6912,monsoon,289,medium,medium term,Sugarcane,36.7,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6913,winter,290,low,short term,Barley,36.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6914,spring,291,high,long term,Oats,36.9,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6915,monsoon,292,medium,medium term,Rye,37,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6916,winter,293,low,short term,Rice,37.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6917,spring,294,high,long term,Maize,37.2,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6918,monsoon,295,medium,medium term,Sugarcane,37.3,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6919,winter,296,low,short term,Barley,37.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6920,spring,297,high,long term,Oats,37.5,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6921,monsoon,298,medium,medium term,Rye,37.6,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6922,winter,299,low,short term,Wheat,37.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6923,spring,300,high,long term,Rice,37.8,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6924,monsoon,301,medium,medium term,Sugarcane,37.9,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6925,winter,302,low,short term,Barley,38,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6926,spring,303,high,long term,Oats,38.1,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6927,monsoon,304,medium,medium term,Rye,38.2,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6928,winter,305,low,short term,Rice,38.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6929,spring,306,high,long term,Maize,38.4,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6930,monsoon,307,medium,medium term,Sugarcane,38.5,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6931,winter,308,low,short term,Barley,38.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6932,spring,309,high,long term,Oats,38.7,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6933,monsoon,310,medium,medium term,Rye,38.8,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6934,winter,311,low,short term,Wheat,38.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6935,spring,312,high,long term,Rice,39,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6936,monsoon,313,medium,medium term,Sugarcane,39.1,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6937,winter,314,low,short term,Barley,39.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6938,spring,315,high,long term,Oats,39.3,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6939,monsoon,316,medium,medium term,Rye,39.4,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6940,winter,317,low,short term,Rice,39.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6941,spring,318,high,long term,Maize,39.6,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6942,monsoon,319,medium,medium term,Sugarcane,39.7,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6943,winter,320,low,short term,Barley,39.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6944,spring,321,high,long term,Oats,39.9,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6945,monsoon,322,medium,medium term,Rye,40,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,high,6946,winter,323,low,short term,Wheat,40.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,low,6947,spring,324,high,long term,Rice,40.2,Potassium-rich fertilizer,Organic pesticide
Peaty,medium,6948,monsoon,325,medium,medium term,Sugarcane,40.3,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,6949,winter,326,low,short term,Barley,40.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,6950,spring,327,high,long term,Oats,40.5,Potassium-rich fertilizer,Organic pesticide
Silty,medium,6951,monsoon,328,medium,medium term,Rye,40.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,high,6952,winter,329,low,short term,Rice,40.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6953,spring,330,high,long term,Maize,40.8,Potassium-rich fertilizer,Organic pesticide
Chalky,medium,6954,monsoon,331,medium,medium term,Wheat,40.9,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,high,6955,winter,332,low,short term,Barley,41,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,low,6956,spring,333,high,long term,Rice,41.1,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6957,monsoon,334,medium,medium term,Oats,41.2,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6958,winter,335,low,short term,Maize,41.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6959,spring,336,high,long term,Sugarcane,41.4,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6960,monsoon,337,medium,medium term,Rye,41.5,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,high,6961,winter,338,low,short term,Wheat,41.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,6962,spring,339,high,long term,Rice,41.7,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6963,monsoon,340,medium,medium term,Barley,41.8,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6964,winter,341,low,short term,Oats,41.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6965,spring,342,high,long term,Sugarcane,42,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6966,monsoon,343,medium,medium term,Maize,42.1,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,high,6967,winter,344,low,short term,Rye,42.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,6968,spring,345,high,long term,Rice,42.3,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6969,monsoon,346,medium,medium term,Wheat,42.4,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6970,winter,347,low,short term,Barley,42.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6971,spring,348,high,long term,Oats,42.6,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6972,monsoon,349,medium,medium term,Sugarcane,42.7,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,high,6973,winter,350,low,short term,Maize,42.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,6974,spring,351,high,long term,Rye,42.9,Potassium-rich fertilizer,Organic pesticide
Clay,medium,6975,monsoon,352,medium,medium term,Rice,43,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,6976,winter,353,low,short term,Wheat,43.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,6977,spring,354,high,long term,Barley,43.2,Potassium-rich fertilizer,Organic pesticide
Loamy,medium,6978,monsoon,355,medium,medium term,Oats,43.3,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,high,6979,winter,356,low,short term,Sugarcane,43.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,low,6980,spring,357,high,long term,Maize,43.5,Potassium-rich fertilizer,Organic pesticide
Loamy,high,6981,summer,358,medium,medium term,Rye,43.6,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,6982,monsoon,359,low,short term,Sugarcane,43.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6983,winter,360,high,long term,Barley,43.8,Potassium-rich fertilizer,Organic pesticide
Chalky,high,6984,spring,361,medium,medium term,Oats,43.9,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,6985,monsoon,362,low,short term,Maize,44,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,6986,winter,363,high,long term,Rice,44.1,Potassium-rich fertilizer,Organic pesticide
Clay,high,6987,spring,364,medium,medium term,Wheat,44.2,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,6988,monsoon,365,low,short term,Sugarcane,44.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6989,winter,366,high,long term,Barley,44.4,Potassium-rich fertilizer,Organic pesticide
Chalky,high,6990,spring,367,medium,medium term,Oats,44.5,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,6991,monsoon,368,low,short term,Maize,44.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,6992,winter,369,high,long term,Rice,44.7,Potassium-rich fertilizer,Organic pesticide
Clay,high,6993,spring,370,medium,medium term,Wheat,44.8,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,6994,monsoon,371,low,short term,Sugarcane,44.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,6995,winter,372,high,long term,Barley,45,Potassium-rich fertilizer,Organic pesticide
Chalky,high,6996,spring,373,medium,medium term,Oats,45.1,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,6997,monsoon,374,low,short term,Maize,45.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,6998,winter,375,high,long term,Rice,45.3,Potassium-rich fertilizer,Organic pesticide
Clay,high,6999,spring,376,medium,medium term,Wheat,45.4,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,7000,monsoon,377,low,short term,Sugarcane,45.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,7001,winter,378,high,long term,Barley,45.6,Potassium-rich fertilizer,Organic pesticide
Chalky,high,7002,spring,379,medium,medium term,Oats,45.7,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,low,7003,monsoon,380,low,short term,Maize,45.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7004,winter,381,high,long term,Rice,45.9,Potassium-rich fertilizer,Organic pesticide
Clay,high,7005,spring,382,medium,medium term,Wheat,46,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,low,7006,monsoon,383,low,short term,Sugarcane,46.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,medium,7007,winter,384,high,long term,Barley,46.2,Potassium-rich fertilizer,Organic pesticide
Silty,high,7008,spring,385,medium,medium term,Oats,46.3,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7009,monsoon,386,low,short term,Maize,46.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7010,winter,387,high,long term,Rice,46.5,Potassium-rich fertilizer,Organic pesticide
Loamy,high,7011,spring,388,medium,medium term,Wheat,46.6,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,7012,monsoon,389,low,short term,Sugarcane,46.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7013,winter,390,high,long term,Barley,46.8,Potassium-rich fertilizer,Organic pesticide
Silty,high,7014,spring,391,medium,medium term,Oats,46.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7015,monsoon,392,low,short term,Maize,47,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7016,winter,393,high,long term,Rice,47.1,Potassium-rich fertilizer,Organic pesticide
Loamy,high,7017,spring,394,medium,medium term,Wheat,47.2,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,7018,monsoon,395,low,short term,Sugarcane,47.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7019,winter,396,high,long term,Barley,47.4,Potassium-rich fertilizer,Organic pesticide
Silty,high,7020,spring,397,medium,medium term,Oats,47.5,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7021,monsoon,398,low,short term,Maize,47.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7022,winter,399,high,long term,Rice,47.7,Potassium-rich fertilizer,Organic pesticide
Loamy,high,7023,spring,400,medium,medium term,Wheat,47.8,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,7024,monsoon,401,low,short term,Sugarcane,47.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7025,winter,402,high,long term,Barley,48,Potassium-rich fertilizer,Organic pesticide
Silty,high,7026,spring,403,medium,medium term,Oats,48.1,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7027,monsoon,404,low,short term,Maize,48.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7028,winter,405,high,long term,Rice,48.3,Potassium-rich fertilizer,Organic pesticide
Loamy,high,7029,spring,406,medium,medium term,Wheat,48.4,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,7030,monsoon,407,low,short term,Sugarcane,48.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7031,winter,408,high,long term,Barley,48.6,Potassium-rich fertilizer,Organic pesticide
Silty,high,7032,spring,409,medium,medium term,Oats,48.7,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7033,monsoon,410,low,short term,Maize,48.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7034,winter,411,high,long term,Rice,48.9,Potassium-rich fertilizer,Organic pesticide
Sandy,medium,7025,summer,412,medium,medium term,Sorghum,49,Calcium-rich fertilizer,Neem-based pesticide
Loamy,high,7026,spring,413,high,short term,Peanuts,49.1,Phosphorus-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,7027,monsoon,414,low,long term,Sugarcane,49.2,Nitrogen-rich fertilizer,Copper-based pesticide
Chalky,medium,7028,winter,415,medium,medium term,Barley,49.3,Potassium-rich fertilizer,Organic pesticide
Silty,high,7029,summer,416,high,short term,Oats,49.4,Calcium-rich fertilizer,Neem-based pesticide
Clay,low,7030,spring,417,low,long term,Maize,49.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7031,monsoon,418,medium,medium term,Rice,49.6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,7032,winter,419,high,short term,Wheat,49.7,Potassium-rich fertilizer,Organic pesticide
Peaty,low,7033,summer,420,low,long term,Sugarcane,49.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7034,spring,421,medium,medium term,Barley,49.9,Calcium-rich fertilizer,Neem-based pesticide
Silty,high,7035,monsoon,422,high,short term,Oats,50,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7036,winter,423,low,long term,Maize,50.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7037,summer,424,medium,medium term,Sorghum,50.2,Potassium-rich fertilizer,Organic pesticide
Loamy,high,7038,spring,425,high,short term,Peanuts,50.3,Calcium-rich fertilizer,Neem-based pesticide
Peaty,low,7039,monsoon,426,low,long term,Sugarcane,50.4,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,medium,7040,winter,427,medium,medium term,Barley,50.5,Potassium-rich fertilizer,Organic pesticide
Silty,high,7041,summer,428,high,short term,Oats,50.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Clay,low,7042,spring,429,low,long term,Maize,50.7,Calcium-rich fertilizer,Neem-based pesticide
Sandy,medium,7043,monsoon,430,medium,medium term,Rice,50.8,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,7044,winter,431,high,short term,Wheat,50.9,Potassium-rich fertilizer,Organic pesticide
Peaty,low,7045,summer,432,low,long term,Sugarcane,51,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7046,spring,433,medium,medium term,Barley,51.1,Calcium-rich fertilizer,Neem-based pesticide
Silty,high,7047,monsoon,434,high,short term,Oats,51.2,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7048,winter,435,low,long term,Maize,51.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7049,summer,436,medium,medium term,Sorghum,51.4,Potassium-rich fertilizer,Organic pesticide
Loamy,high,7050,spring,437,high,short term,Peanuts,51.5,Calcium-rich fertilizer,Neem-based pesticide
Peaty,low,7051,monsoon,438,low,long term,Sugarcane,51.6,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,medium,7052,winter,439,medium,medium term,Rice,51.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,high,7053,summer,440,high,short term,Oats,51.8,Potassium-rich fertilizer,Organic pesticide
Clay,low,7054,spring,441,low,long term,Maize,51.9,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,medium,7055,monsoon,442,medium,medium term,Sorghum,52,Calcium-rich fertilizer,Neem-based pesticide
Loamy,high,7056,winter,443,high,short term,Wheat,52.1,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,7057,summer,444,low,long term,Sugarcane,52.2,Potassium-rich fertilizer,Organic pesticide
Chalky,medium,7058,spring,445,medium,medium term,Barley,52.3,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,high,7059,monsoon,446,high,short term,Oats,52.4,Calcium-rich fertilizer,Neem-based pesticide
Clay,low,7060,winter,447,low,long term,Maize,52.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7061,summer,448,medium,medium term,Rice,52.6,Potassium-rich fertilizer,Organic pesticide
Loamy,high,7062,spring,449,high,short term,Peanuts,52.7,Phosphorus-rich fertilizer,Copper-based pesticide
Peaty,low,7063,monsoon,450,low,long term,Sugarcane,52.8,Calcium-rich fertilizer,Neem-based pesticide
Chalky,medium,7064,winter,451,medium,medium term,Barley,52.9,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Silty,high,7065,summer,452,high,short term,Oats,53,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7066,spring,453,low,long term,Maize,53.1,Potassium-rich fertilizer,Organic pesticide
Sandy,medium,7067,monsoon,454,medium,medium term,Sorghum,53.2,Calcium-rich fertilizer,Neem-based pesticide
Loamy,high,7068,winter,455,high,short term,Wheat,53.3,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,7069,summer,456,low,long term,Sugarcane,53.4,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,medium,7070,spring,457,medium,medium term,Barley,53.5,Calcium-rich fertilizer,Neem-based pesticide
Silty,high,7071,monsoon,458,high,short term,Oats,53.6,Potassium-rich fertilizer,Organic pesticide
Clay,low,7072,winter,459,low,long term,Maize,53.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7073,summer,460,medium,medium term,Rice,53.8,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,7074,spring,461,high,short term,Peanuts,53.9,Calcium-rich fertilizer,Neem-based pesticide
Peaty,low,7075,monsoon,462,low,long term,Sugarcane,54,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7076,winter,463,medium,medium term,Barley,54.1,Potassium-rich fertilizer,Organic pesticide
Silty,high,7077,summer,464,high,short term,Oats,54.2,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7078,spring,465,low,long term,Maize,54.3,Calcium-rich fertilizer,Neem-based pesticide
Sandy,medium,7088,monsoon,470,medium,medium term,Sorghum,56.7,Calcium-rich fertilizer,Neem-based pesticide
Loamy,high,7089,winter,471,high,short term,Wheat,56.8,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,7090,summer,472,low,long term,Sugarcane,56.9,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,medium,7091,spring,473,medium,medium term,Barley,57,Calcium-rich fertilizer,Neem-based pesticide
Silty,high,7092,monsoon,474,high,short term,Oats,57.1,Potassium-rich fertilizer,Organic pesticide
Clay,low,7093,winter,475,low,long term,Maize,57.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7094,summer,476,medium,medium term,Rice,57.3,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,7095,spring,477,high,short term,Peanuts,57.4,Calcium-rich fertilizer,Neem-based pesticide
Peaty,low,7096,monsoon,478,low,long term,Sugarcane,57.5,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7097,winter,479,medium,medium term,Barley,57.6,Potassium-rich fertilizer,Organic pesticide
Silty,high,7098,summer,480,high,short term,Oats,57.7,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7099,spring,481,low,long term,Maize,57.8,Calcium-rich fertilizer,Neem-based pesticide
Sandy,medium,7100,monsoon,482,medium,medium term,Sorghum,57.9,Calcium-rich fertilizer,Neem-based pesticide
Loamy,high,7101,winter,483,high,short term,Wheat,58,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,7102,summer,484,low,long term,Sugarcane,58.1,Phosphorus-rich fertilizer,Copper-based pesticide
Chalky,medium,7103,spring,485,medium,medium term,Barley,58.2,Calcium-rich fertilizer,Neem-based pesticide
Silty,high,7104,monsoon,486,high,short term,Oats,58.3,Potassium-rich fertilizer,Organic pesticide
Clay,low,7105,winter,487,low,long term,Maize,58.4,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Sandy,medium,7106,summer,488,medium,medium term,Rice,58.5,Phosphorus-rich fertilizer,Copper-based pesticide
Loamy,high,7107,spring,489,high,short term,Peanuts,58.6,Calcium-rich fertilizer,Neem-based pesticide
Peaty,low,7108,monsoon,490,low,long term,Sugarcane,58.7,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Chalky,medium,7109,winter,491,medium,medium term,Barley,58.8,Potassium-rich fertilizer,Organic pesticide
Silty,high,7110,summer,492,high,short term,Oats,58.9,Phosphorus-rich fertilizer,Copper-based pesticide
Clay,low,7111,spring,493,low,long term,Maize,59,Calcium-rich fertilizer,Neem-based pesticide
Sandy,medium,7112,monsoon,494,medium,medium term,Sorghum,59.1,Calcium-rich fertilizer,Neem-based pesticide
Loamy,high,7113,winter,495,high,short term,Wheat,59.2,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Peaty,low,7114,summer,496,low,long term,Sugarcane,59.3,Phosphorus-rich fertilizer,Copper-based pesticide
Silty,medium,7115,spring,497,medium,medium term,Rice,59.4,Potassium-rich fertilizer,Organic pesticide
Clay,high,7116,monsoon,498,high,short term,Oats,59.5,Phosphorus-rich fertilizer,Copper-based pesticide
Sandy,low,7117,winter,499,low,long term,Maize,59.6,Nitrogen-rich fertilizer,Pyrethrin-based pesticide
Loamy,medium,7118,summer,500,medium,medium term,Sorghum,59.7,Calcium-rich fertilizer,Neem-based pesticide
